n,d,m,ncu_total_flops_fwd,theoretical_total_flops_fwd,percent_diff_fwd,ncu_total_flops_bwd,theoretical_total_flops_bwd,percent_diff_bwd,omega_fwd,rho_fwd,kappa_fwd,omega_bwd,rho_bwd,kappa_bwd
2,128,16,37556224.0,1052672,3467.7042801556418,56545760.0,1579008,3481.0939526588845,34.5,65.0,15.0,34.5,113.41145833333333,1.0
2,128,32,37888000.0,2105344,1699.6108949416343,56693216.0,3158016,1695.2162370298315,16.75,65.0,15.0,16.75,67.70572916666667,1.0
2,128,48,37826560.0,3158016,1097.7950713359273,63109600.0,4737024,1232.2626188932122,10.833333333333334,33.0,15.0,12.18923611111111,45.470486111111114,1.0
2,128,64,38027264.0,4210688,803.1128404669261,63214048.0,6316032,900.8506606679637,7.875,33.0,15.0,8.891927083333334,37.852864583333336,1.0
2,128,80,37900288.0,5263360,620.0778210116732,66114016.0,7895040,737.4120460440986,6.1,17.0,15.0,7.283333333333333,29.615625,1.0
2,128,96,38035456.0,6316032,502.2049286640726,66195936.0,9474048,598.7080496108949,4.916666666666667,17.0,15.0,5.902777777777778,26.56857638888889,1.0
2,128,112,75853824.0,7368704,929.4052251250696,75583968.0,11053056,583.8286895497498,9.142857142857142,33.0,15.0,5.761904761904762,24.392113095238095,1.0
2,128,128,9142272.0,8421376,8.560311284046692,13046240.0,12632064,3.278767428664073,0.02734375,0.0,15.0,0.02734375,0.4264322916666667,1.0
2,128,144,11362304.0,9474048,19.930825767401643,16234976.0,14211072,14.241740524571265,0.14149305555555558,0.0,15.0,0.13744212962962954,0.41608796296296297,1.0
2,128,160,11427840.0,10526720,8.560311284046692,16249312.0,15790080,2.908357652399481,0.02734375,0.0,15.0,0.023697916666666652,0.4078125,1.0
2,128,176,13647872.0,11579392,17.86345949770074,20027872.0,17369088,15.307562492630586,0.12073863636363646,0.0,15.0,0.140625,2.340435606060606,1.0
2,128,192,13713408.0,12632064,8.560311284046692,20042208.0,18948096,5.774258268482491,0.02734375,0.0,15.0,0.04557291666666674,2.1731770833333335,1.0
2,128,208,15933440.0,13684736,16.43220592636935,27425248.0,20527104,33.60505213010077,0.10637019230769229,0.0,15.0,0.32552083333333326,2.031650641025641,1.0
2,128,224,15998976.0,14737408,8.560311284046692,27439584.0,22106112,24.126684963868815,0.02734375,0.0,15.0,0.23084077380952372,1.9103422619047619,1.0
2,128,240,18219008.0,15790080,15.382619974059663,28531168.0,23685120,20.46030587980977,0.09583333333333344,0.0,15.0,0.19444444444444442,1.8052083333333333,1.0
2,128,256,18284544.0,16842752,8.560311284046692,26710496.0,25264128,5.724986827172503,0.02734375,0.0,15.0,0.04557291666666674,2.0465494791666665,1.0
2,256,16,37625856.0,4202496,795.3216374269006,68375008.0,6303744,984.6729816439247,7.875,33.0,15.0,9.723958333333334,71.70572916666667,1.0
2,256,32,9191424.0,8404992,9.35672514619883,42406368.0,12607488,236.35858308966863,0.0546875,5.0,15.0,2.3098958333333335,28.852864583333332,1.0
2,256,48,18210816.0,12607488,44.44444444444444,46485984.0,18911232,145.8115050357375,0.40625,5.0,15.0,1.4201388888888888,19.90190972222222,1.0
2,256,64,18382848.0,16809984,9.35672514619883,26350048.0,25214976,4.5015787443144895,0.0546875,5.0,15.0,0.0390625,2.0930989583333335,1.0
2,256,80,27402240.0,21012480,30.409356725146196,43241952.0,31518720,37.19450536062378,0.265625,5.0,15.0,0.3666666666666667,2.074479166666667,1.0
2,256,96,27574272.0,25214976,9.35672514619883,43291104.0,37822464,14.458708983105915,0.0546875,5.0,15.0,0.13888888888888884,2.0620659722222223,1.0
2,256,112,36593664.0,29417472,24.394319131161236,51728864.0,44126208,17.22934361366379,0.2053571428571428,5.0,15.0,0.16666666666666674,2.0531994047619047,1.0
2,256,128,36765696.0,33619968,9.35672514619883,51778016.0,50429952,2.6731415488953867,0.0546875,5.0,15.0,0.02083333333333326,2.0465494791666665,1.0
2,256,144,54632448.0,37822464,44.44444444444444,68669920.0,56733696,21.039038246336005,0.40625,5.0,15.0,0.20486111111111116,2.041377314814815,1.0
2,256,160,54804480.0,42024960,30.409356725146196,68719072.0,63037440,9.013107131254062,0.265625,5.0,15.0,0.08437500000000009,2.037239583333333,1.0
2,256,176,54976512.0,46227456,18.92610313662945,77156832.0,69341184,11.271292973595605,0.15056818181818188,5.0,15.0,0.10700757575757569,2.0338541666666665,1.0
2,256,192,55148544.0,50429952,9.35672514619883,77205984.0,75644928,2.0636624837556856,0.0546875,5.0,15.0,0.01475694444444442,2.031032986111111,1.0
2,256,208,64167936.0,54632448,17.453891138101664,91247072.0,81948672,11.346614622382166,0.1358173076923077,5.0,15.0,0.1077724358974359,2.0286458333333335,1.0
2,256,224,64339968.0,58834944,9.35672514619883,110432736.0,88252416,25.1328190267335,0.0546875,5.0,15.0,0.2399553571428572,5.07421875,1.0
2,256,240,73359360.0,63037440,16.374269005847953,104157664.0,94556160,10.154287145332468,0.125,5.0,15.0,0.09583333333333344,2.024826388888889,1.0
2,256,256,73531392.0,67239936,9.35672514619883,107614688.0,100859904,6.697194556124107,0.0546875,5.0,15.0,0.0546875,5.356608072916667,1.0
2,384,16,20189184.0,9449472,113.65409622886867,61874656.0,14174208,336.5298999422049,1.109375,7.0,15.0,3.302083333333333,50.91493055555556,1.0
2,384,32,20471808.0,18898944,8.322496749024708,61960672.0,28348416,118.56837433174397,0.0546875,7.0,15.0,1.1510416666666665,26.79079861111111,1.0
