GPU,FP32_Forward,FP32_Backward,FP32_Forward_Error,FP32_Backward_Error,FP16_Forward,FP16_Backward,FP16_Forward_Error,FP16_Backward_Error,BF16_Forward,BF16_Backward,BF16_Forward_Error,BF16_Backward_Error
A100,3.201676160780033,0.036737675171301894,0.0009426654970469439,1.4942989133664478e-07,3.451846888732545,0.43432334308446924,0.0008382224306779605,1.2115880316455198e-05,2.9279930980057407,0.3409395581683046,0.0009963262302842976,1.646838472708671e-05
A40,6.216648788636793,0.0,0.0019010465812952253,0.0,4.5798149590661446,0.19002447125938224,0.0016885257438829227,3.6160774919253413e-06,4.466550306946536,0.18208796139645814,0.0017993122928224863,3.939058927484973e-06
H100,3.029329422739643,0.05376347945292757,0.0004739935876249643,2.850471664891077e-07,2.89506410632651,0.6508795728151247,0.00029768806793358416,3.083728654614495e-05,2.9836484890202972,0.4480823546292831,0.0003051939955539881,1.9977859675155832e-05
L40,5.683011440563253,0.0,0.0003472122516494576,0.0,6.239047468809919,0.38236243181587076,0.0023493256049453167,8.415489176275331e-06,5.248392994857609,0.3073163688697453,0.001985206526041148,2.2389611549854172e-05
V100,4.078270532436142,0.0,0.0008526504601525291,0.0,5.169641062150751,0.0,0.001589634377528667,0.0,4.030552967516322,0.0,0.000933696452659651,0.0
