n,d,m,ncu_total_flops_fwd,theoretical_total_flops_fwd,percent_diff_fwd,ncu_total_flops_bwd,theoretical_total_flops_bwd,percent_diff_bwd,epsilon_gemm,rho,kappa_fwd,epsilon_gemm_bwd,rho_bwd,kappa_bwd
32,256,256,1176502272.0,1075838976,9.35672514619883,2256540128.0,2118057984,6.5381658597690215,0.0546875,5.0,15.0,0.0546875,5.016981336805555,0.5238095238095237
32,512,16,572784640.0,268697600,113.17073170731706,2267746784.0,528998400,328.68688903406894,1.109375,9.0,15.0,3.1423611111111107,150.73902529761904,0.5238095238095237
32,512,32,579338235.0,537395200,7.804877118366521,1650069984.0,1057996800,55.96171784262486,0.0546875,9.0,14.999990463256836,0.5553075396825398,4.448877728174603,0.5238095238095237
32,512,64,1158676470.0,1074790400,7.804877118366521,2193101280.0,2115993600,3.6440412674216027,0.0546875,9.0,14.999990463256836,0.031622023809523725,4.446661086309524,0.5238095238095237
32,512,128,2250244097.0,2149580800,4.682926875788991,4327477728.0,4231987200,2.256399263211382,0.02734375,5.0,15.000000476837158,0.017733134920634885,4.445552765376984,0.5238095238095237
32,512,256,4433379310.0,4299161600,3.12195080082591,8555670000.0,8463974400,1.0833633901350175,0.013671875,3.0,14.999995708465576,0.010308159722222321,0.025109669518849208,0.5238095238095237
32,1024,16,2219310675.0,1074266112,106.58853986078265,3214152160.0,2114961408,51.972142273718504,1.0546875,9.0,14.999181747436523,0.515625,8.38538566468254,0.5238095238095237
32,1024,32,2232417689.0,2148532224,3.904314958042724,4298117600.0,4229922816,1.6121992520063986,0.02734375,9.0,14.99941349029541,0.011780753968253954,8.38316902281746,0.5238095238095237
32,1024,64,4397726624.0,4297064448,2.3425800850357645,8530170336.0,8459845632,0.8312764447378513,0.013671875,5.0,14.999465942382812,0.005890376984126977,4.445552765376984,0.5238095238095237
32,1024,128,8728344292.0,8594128896,1.5617102980904605,17026853360.0,16919691264,0.6333572777891557,0.0068359375,3.0,14.999444007873535,0.00390625,4.453681098090278,0.5238095238095237
32,1024,256,17372801948.0,17188257792,1.073664115544585,33938884608.0,33839382528,0.2940422447651584,0.00341796875,0.0,14.999377727508545,0.002673921130952328,0.02492559523809524,0.5238095238095237
