GPU,FP32_Forward_Value,FP32_Forward_Error,FP32_Backward_Value,FP32_Backward_Error,FP16_Forward_Value,FP16_Forward_Error,FP16_Backward_Value,FP16_Backward_Error
V100,0.7243749386531051,0.00019481357438733883,0.4050506815881849,1.928119124592994e-05,0.7970500061452347,9.161398122991864e-05,0.25362532606750265,5.905018807300482e-06
A100,0.849339723066549,0.0002834233580671444,0.5339880664959429,8.276116135826916e-05,2.6235572124691298,0.06253989597187026,0.8741685872395265,0.00017486879759110626
A40,1.3166973365626462,0.0002935525352988162,0.5736435624672908,1.6839429619228155e-05,1.9570994355650246,0.0037253367930157313,0.8390900530618475,0.0009413044008611842
L40S,2.251808672829414,0.0008519738402513166,0.7126773017865093,3.401475982461989e-05,3.944471036524614,0.01702361737354398,1.612234607986597,0.00015101451540905906
