GPU,FP32_Forward_Value,FP32_Forward_Error,FP32_Backward_Value,FP32_Backward_Error,FP16_Forward_Value,FP16_Forward_Error,FP16_Backward_Value,FP16_Backward_Error
V100,32.59189153,0.06923018347137658,82.43138122999999,0.10705233188740813,47.90130839,0.18049944066946305,117.29046868999998,0.19519572188028642
A100,24.11592111,0.064897658240508,75.48936321000002,0.3953551171696482,7.223464430000003,0.040599356304677744,25.309792239999968,0.015897368794829926
A40,21.537207510000005,0.11637866374158008,70.88469581000003,0.1437275542471263,11.8567071,0.001303594128716638,32.324321369999986,0.09674748222214602
L40S,14.728895869999999,0.051208801866128306,45.832903590000015,0.03164751948470962,9.44087761,0.0011315322280921183,24.812749480000022,0.014546341723467398
