GPU,FP32_Forward,FP32_Backward,FP32_Forward_Error,FP32_Backward_Error,FP16_Forward,FP16_Backward,FP16_Forward_Error,FP16_Backward_Error,BF16_Forward,BF16_Backward,BF16_Forward_Error,BF16_Backward_Error
A100,1.0483640340323255,0.038144619918092794,0.000445141594444789,5.231741811816039e-07,0.8891418790440829,0.6054533168157591,0.0004492999386791849,4.2820093068856705e-05,0.9379893656442081,0.4027169980203892,0.00044605397259957663,6.148247025578691e-05
A40,1.530084334007987,0.04804207128228737,0.0004553524153608795,7.443731383746795e-07,1.4341085726517178,0.23965388421633102,0.000545640210855635,1.049276137147555e-05,1.5096132474287267,0.20027454696439687,0.0005584305170259374,7.874709673294263e-06
H100,0.8195823830487453,0.06250343187784387,7.868296560585485e-05,9.77908004414576e-07,0.8611375574355553,0.9352066031741236,0.0010827174590650195,0.00021918168113330047,0.8698130305177818,0.6418320885445056,0.001049000792407614,0.00012859655161230333
L40,1.43230191755661,0.08069285685189427,6.961445397302106e-05,2.2391156432592e-06,1.6143082871060204,0.541657641041982,0.0002864207223836943,4.093405363348115e-05,1.6149867433729772,0.4407344762422425,0.000319550103077004,3.540950941380898e-05
V100,1.006462168870763,0.03465275898970231,0.00040920472643249503,6.43292704345005e-07,0.9110724023272989,0.2514330185330214,0.0003288212133732629,9.15171918134672e-06,0.816114439032574,0.02807971101907813,0.0003688807717843133,3.3069274003046623e-07
