GPU,FP32_Forward,FP32_Backward,FP32_Forward_Error,FP32_Backward_Error,FP16_Forward,FP16_Backward,FP16_Forward_Error,FP16_Backward_Error,BF16_Forward,BF16_Backward,BF16_Forward_Error,BF16_Backward_Error
A100,1.5477221944350454,0.03632549818208747,0.0005214861032358717,3.327346974418627e-07,1.7788506634815655,0.48836421164223615,0.0007570629603601519,2.3726188530725634e-05,1.445370353822832,0.3662405516007492,0.0004587453235553466,3.822438897193816e-05
A40,2.334289829851964,0.04563636768483612,0.0009689881257026024,1.3809015273761755e-06,2.4388709398417414,0.21556133176946676,0.0009442798187504575,5.232130949199925e-06,3.0361258388317327,0.1875734891636338,0.0010356352759743274,3.5876301191860934e-06
H100,1.578425414109133,0.058088120074450016,0.00016710422219662468,4.861189436915719e-07,2.2837606031092554,0.759181184262083,0.0006501568971185354,6.489799006519037e-05,1.645426408360989,0.5195329516158118,0.0004149844160410423,3.1422633109003474e-05
L40,2.7701304357216703,0.07572245983605959,0.0005611469133710751,2.4958665812074107e-06,3.218234421717437,0.47008236139454823,0.0012426339374563694,2.881114926253797e-05,3.0444611138860864,0.3660315918812483,0.0002511367191749109,2.5908639766342442e-05
V100,2.146188449769289,0.0,0.0006823752317712643,0.0,1.8227945398578345,0.22909249365151996,0.0004663507952887041,3.762769579668241e-06,1.8760669185971286,0.02679930148688836,0.0005941870898634973,1.0397776673018534e-07
