gpu_config,precision,config_name,batch_size,input_length,forward_tflops_per_joule,backward_tflops_per_joule,total_tflops_per_joule,is_forward_only,forward_energy,backward_energy,forward_gpu_time,backward_gpu_time
l40,fp16,large,8,1024,6.239047468809919,0.38236243181587076,6.62140990062579,False,3.2456312222222223,105.92016588888889,17.54492202222222,393.5179826000001
a40,fp32,large,8,1024,6.216648788636793,0.0,6.216648788636793,True,3.2573252808988764,0.0,31.26332207777778,0.0
l40,fp32,large,8,1024,5.683011440563253,0.0,5.683011440563253,True,3.5631896,0.0,15.784866055555556,0.0
l40,bf16,large,8,1024,5.248392994857609,0.3073163688697453,5.555709363727353,False,3.8582566666666667,131.78566555555557,17.5628757,413.4808680666666
v100,fp16,large,8,1024,5.169641062150751,0.0,5.169641062150751,True,3.9170315730337077,0.0,38.91175313333334,0.0
a40,fp16,large,8,1024,4.5798149590661446,0.19002447125938224,4.7698394303255265,False,4.421499,213.1298771111111,26.743067455555558,770.7264284777777
a40,bf16,large,8,1024,4.466550306946536,0.18208796139645814,4.648638268342995,False,4.533621222222222,222.419384,24.92116077777778,740.5667537444446
v100,fp32,large,8,1024,4.078270532436142,0.0,4.078270532436142,True,4.965253555555555,0.0,38.42864341111112,0.0
v100,bf16,large,8,1024,4.030552967516322,0.0,4.030552967516322,True,5.296964444444444,0.0,63.685288344444444,0.0
a100,fp16,large,8,1024,3.451846888732545,0.43432334308446924,3.886170231817015,False,5.866322555555556,93.24825122222222,29.566748966666665,315.5209774444445
l40,fp16,mid,8,512,3.218234421717437,0.47008236139454823,3.688316783111985,False,3.1460802222222224,43.077722333333334,16.8897465,165.12443042222222
h100,fp16,large,8,1024,2.89506410632651,0.6508795728151247,3.5459436791416348,False,6.994541923076923,62.22332655555555,13.332255799999999,118.8306087222222
h100,bf16,large,8,1024,2.9836484890202972,0.4480823546292831,3.4317308436495804,False,6.786874303797468,90.38492988888889,13.634818433333335,124.86072098888887
l40,bf16,mid,8,512,3.0444611138860864,0.3660315918812483,3.410492705767335,False,3.3256537974683544,55.32330511111111,16.144392855555555,174.39951876666672
a100,bf16,large,8,1024,2.9279930980057407,0.3409395581683046,3.2689326561740453,False,6.915879438202247,118.78906755555556,28.66682512222222,320.31603562222205
a100,fp32,large,8,1024,3.201676160780033,0.036737675171301894,3.2384138359513344,False,6.324701888888889,1102.4149038888888,14.454384177777778,2872.8571958888892
a40,bf16,mid,8,512,3.0361258388317327,0.1875734891636338,3.2236993279953667,False,3.3347839325842696,107.95809966666667,22.652849200000002,358.44991333333337
h100,fp32,large,8,1024,3.029329422739643,0.05376347945292757,3.083092902192571,False,6.6845312727272725,753.3024472222222,15.469293333333333,1106.7261380555556
h100,fp16,mid,8,512,2.2837606031092554,0.759181184262083,3.0429417873713382,False,4.43339974025974,26.673576555555556,12.896351022222223,50.52502806666667
l40,fp32,mid,8,512,2.7701304357216703,0.07572245983605959,2.84585289555773,False,3.654998888888889,267.4267542222222,15.643647155555554,790.7557890444448
a40,fp16,mid,8,512,2.4388709398417414,0.21556133176946676,2.654432271611208,False,4.151438888888889,93.9411408888889,25.0710009,341.1732126888889
a40,fp32,mid,8,512,2.334289829851964,0.04563636768483612,2.3799261975368,False,4.337432111111111,443.72969811111113,24.468203666666664,1477.535666511111
a100,fp16,mid,8,512,1.7788506634815655,0.48836421164223615,2.267214875123802,False,5.691778333333334,41.46511344444445,28.734876200000002,152.8397128999999
h100,bf16,mid,8,512,1.645426408360989,0.5195329516158118,2.164959359976801,False,6.153312972972973,38.977465,12.744158400000002,52.96830904444447
